condition_id,occurrence_id,condition_template_id,case_id,question_bank_id,chunk_id,batch,source_version,question_type,exam_date,exam_site,source_docx,source_page,source_row_index,condition_index,condition_marker,condition_type,raw_text,normalized_values,units,waypoint_refs,latlon_text,angle_values,speed_values,height_values,distance_values,quality_flags
gcond_715336dd2c9e,gcond_715336dd2c9e,gctpl_5b719ffabea2,gsec_b900399bb594,qbank_3963f538d4ec,实操题库_地面站考试条件_2026H1_三角函数题型.txt_0,2026H1,2026H1,三角函数题型,2026-05-27,河南03考场,三角函数题-考试条件提取.docx,1,1,1,1、,geometry,"图形如下，任务航线如图所示，边长1-4=2-3=80m,1-2=160m;",1;4;2;3;80;1;2;160,m,4;2;3;1;2,,,,,80m,
gcond_bd95d387b3e8,gcond_bd95d387b3e8,gctpl_734d12517290,gsec_b900399bb594,qbank_3963f538d4ec,实操题库_地面站考试条件_2026H1_三角函数题型.txt_0,2026H1,2026H1,三角函数题型,2026-05-27,河南03考场,三角函数题-考试条件提取.docx,1,2,2,2、,bearing_angle;takeoff_return,起飞点到1点航向角为135°，起飞点到2点距离80m;,1;135;2;80,m;°,起飞点;起飞点,,135°,,,80m,
gcond_7f6c9553490f,gcond_7f6c9553490f,gctpl_26a0ccfb7ba1,gsec_b900399bb594,qbank_3963f538d4ec,实操题库_地面站考试条件_2026H1_三角函数题型.txt_0,2026H1,2026H1,三角函数题型,2026-05-27,河南03考场,三角函数题-考试条件提取.docx,1,3,3,3、,speed_height,"航线高度为50m,水平速度为4m/s,垂直速度为1m/s;",50;4;1,m;m/s;度,,,,4m/s;1m/s,50m,,
gcond_7e042f4a3d06,gcond_7e042f4a3d06,gctpl_03d3ef303f53,gsec_b900399bb594,qbank_3963f538d4ec,实操题库_地面站考试条件_2026H1_三角函数题型.txt_0,2026H1,2026H1,三角函数题型,2026-05-27,河南03考场,三角函数题-考试条件提取.docx,1,4,4,4、,turn_hold_loop,转弯模式为：定点转弯，各点停留时间3s,3,s,,,,,,,
gcond_349527a92603,gcond_349527a92603,gctpl_44f4c30e1a0b,gsec_b900399bb594,qbank_3963f538d4ec,实操题库_地面站考试条件_2026H1_三角函数题型.txt_0,2026H1,2026H1,三角函数题型,2026-05-27,河南03考场,三角函数题-考试条件提取.docx,1,5,5,5、,turn_hold_loop;geometry,图形循环模式为：闭合循环3圈,3,,,,,,,,
gcond_75f9dc731889,gcond_75f9dc731889,gctpl_8f9a8f8a475b,gsec_b900399bb594,qbank_3963f538d4ec,实操题库_地面站考试条件_2026H1_三角函数题型.txt_0,2026H1,2026H1,三角函数题型,2026-05-27,河南03考场,三角函数题-考试条件提取.docx,1,6,6,6、,bearing_angle,1到2的航向角为300°,1;2;300,°,,,300°,,,,
gcond_a34293a3f591,gcond_a34293a3f591,gctpl_c9d288f30917,gsec_b900399bb594,qbank_3963f538d4ec,实操题库_地面站考试条件_2026H1_三角函数题型.txt_0,2026H1,2026H1,三角函数题型,2026-05-27,河南03考场,三角函数题-考试条件提取.docx,1,7,7,7、,coordinate,"1点的经纬度坐标为N33°37′48""E115°13′28""（要求零误差）",1;33;37;48;115;13;28,°;度,,"N33°37′48"";E115°13′28""",33°;115°,,,,
gcond_3f1f100d0839,gcond_3f1f100d0839,gctpl_8e66d5038b11,gsec_f38b9f2de719,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_0,2026H1,2026H1,双经纬度题型,2026-04-27,河南03考场,双经纬度题型-考试条件提取.docx,1,1,1,1、,bearing_angle;geometry,如图所以规划一个直角三角形，1-2=1-3=30m,1;2;1;3;30,m,1;2;1;3,,,,,,ocr_possible_typo
gcond_483a324ab2e3,gcond_483a324ab2e3,gctpl_c7db09f254f4,gsec_f38b9f2de719,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_0,2026H1,2026H1,双经纬度题型,2026-04-27,河南03考场,双经纬度题型-考试条件提取.docx,1,2,2,2、,coordinate;takeoff_return,起飞点的经纬度坐标为：N32.5077°E80.0877°,32.5077;80.0877,°;度,起飞点,N32.5077;E80.0877,32.5077°;80.0877°,,,,
gcond_6edf794966d5,gcond_6edf794966d5,gctpl_5069847ac71b,gsec_f38b9f2de719,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_0,2026H1,2026H1,双经纬度题型,2026-04-27,河南03考场,双经纬度题型-考试条件提取.docx,1,3,3,3、,coordinate,1点经纬度坐标为：N32.5077°E80.08801992°,1;32.5077;80.08801992,°;度,,N32.5077;E80.08801992,32.5077°;80.08801992°,,,,
