case_id,question_bank_id,document_id,chunk_id,doc_name,batch,source_version,exam_period_start,exam_period_end,exam_scope,question_type,source_docx,source_relative_path,source_page,declared_doc_pages,declared_doc_conditions,exam_site,province,exam_room,exam_date,condition_count,skill_labels,quality_flags,raw_text
gsec_b900399bb594,qbank_3963f538d4ec,doc_8cf56608b0d0,实操题库_地面站考试条件_2026H1_三角函数题型.txt_0,实操题库_地面站考试条件_2026H1_三角函数题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,三角函数题型,三角函数题-考试条件提取.docx,地面站考试真题（2026年1月-6月）/三角函数题型/三角函数题-考试条件提取.docx,1,1,7,河南03考场,河南,03考场,2026-05-27,7,经纬度换算;航向方位判断;夹角计算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:三角函数,,"河南03考场地面站真题 | 日期：2026.05.27
1、 图形如下，任务航线如图所示，边长1-4=2-3=80m,1-2=160m;
2、 起飞点到1点航向角为135°，起飞点到2点距离80m;
3、 航线高度为50m,水平速度为4m/s,垂直速度为1m/s;
4、 转弯模式为：定点转弯，各点停留时间3s
5、 图形循环模式为：闭合循环3圈
6、 1到2的航向角为300°
7、 1点的经纬度坐标为N33°37′48""E115°13′28""（要求零误差）"
gsec_f38b9f2de719,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_0,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,1,21,106,河南03考场,河南,03考场,2026-04-27,7,经纬度换算;航向方位判断;夹角计算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,ocr_possible_typo,"河南03考场地面站真题 | 日期：2026.04.27
1、 如图所以规划一个直角三角形，1-2=1-3=30m
2、 起飞点的经纬度坐标为：N32.5077°E80.0877°
3、 1点经纬度坐标为：N32.5077°E80.08801992°
4、 图形要求：3点位于2点的NE方向
5、 整体航线高度为90m,航线水平速度为4ms,垂直爬升速度为2ms
6、 转弯模式为：定点转弯，停留时间为5S
7、 图形循环模式为：闭合不循环"
gsec_2469c0570473,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_1,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,2,21,106,,,,2026-06-16,5,经纬度换算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"宁夏02考点地面站真题 | 日期：2026.06.16
(一) 规划扫描航线要求闭合不循环，航线长度为，航线间隔 为b,航线相对地面高度为c,水平速度为d,垂直速度为e,转弯模 式为协调转弯。
(二) a值为300米，b值为100米，c值为300m,d值为3m/s, e值为2m/s。
1、 题卡图形②点经纬度：N:26°25′26” ,E:120°12′12""
2、 起飞点经纬度：N:26°25′12”，E:120°12′26""
3、 题卡图形④点到题卡图形⑤点与题卡图形②点到起飞点的方向相反。"
gsec_c46278fb271d,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_2,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,3,21,106,,,,2026-06-16,5,经纬度换算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"宁夏02考点地面站真题 | 日期：2026.06.16
1、 题卡图形①点经纬度：N:26°25′12 "",E:120°12′26”
2、 起飞点经纬度：N:26°25′26”，E:1 20°12′12""
3、 题卡图形③点到题卡图形⑤点与题卡 图形①点到起飞点的方向相反。
1、 规划一个闭合六边形并循环执行，边长为a,①②③航点相对地 面高度为b,④⑤⑥航点相对地面高度为c,水平速度为d,垂直速 度为e,转弯方式为停止转弯，各点停留时间为f;
2、 a值为300米，b值为100米，c值为125m,d值为3m/s,e值为2m/s ,f值为2s。"
gsec_923aed527408,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_3,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,4,21,106,江苏01考场,江苏,01考场,2026-05-22,5,经纬度换算;夹角计算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"江苏01考场地面站真题 | 日期：2026.05.22
(一) 按图于起飞点前规划一个四边形并循环执行，①②边、②③边边 长为a,③④边边长为b,∠②=∠③=90·航线相对地面高度为c,水平 速度为d，转弯模式为停止转弯，停留时间不作要求；
(二) a值为20米，b值为30米，c值为30m,d值为3m/s。
一、 起飞点经纬度： N:28°39′30 E:115°56'30
二、 1点的经纬度： N:28°39'30"" E:115°56'25""
三、 2点位于1点东偏南 55°。"
gsec_4ef5c481c291,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_4,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,5,21,106,江苏01考场,江苏,01考场,2026-05-22,5,经纬度换算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"江苏01考场地面站真题 | 日期：2026.05.22
(一) 于起飞点前规划一个六边形并循环执行，边长为a,①② ③航点相对地面高度为b，④⑤⑥航点相对地面高度为℃，水平速度 为d,转弯方式为停止转弯，各点停留时间为f;
(二) a值为30米（误差云±3米），b值为25米，c值为30m, d值为2m/s,f值为2s。
一、 起飞点经纬度： 3 5 N:28°39'30 E:115°56′30
二、 1点的经纬度： N:28°39′30 E:115°56'25
三、 2点位于1点东偏南 55°"
gsec_e1f68e916907,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_5,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,6,21,106,江苏01考场,江苏,01考场,2026-05-22,5,经纬度换算;夹角计算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"江苏01考场地面站真题 | 日期：2026.05.22
(一) 按图于起飞点前规划一个闭合图形并循环执行，各点之间 距离不小于20米，①点相对地面高度为a、②点相对地面高度为b，③点 相对地面高度为c，④点相对地面高度为d，水平速度为f,∠①= ∠②=∠③=∠④=45·转弯模式为停止转弯，停留时间不作要求；
(二) a值为20米，b值为25米，c值为30m,d值为25m, f值为3m/s。
一、 起飞点经纬度： 4 N:28°39'30 E:115°56'30
二、 1点的经纬度： 任务航线示意图： N:28°39'30 E:115°56'25""
三、 2点位于1点东偏南 55°"
gsec_37b932d3cf68,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_6,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,7,21,106,江西03考场,江西,03考场,2026-05-15,5,经纬度换算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"江西03考场地面站真题 | 日期：2026.05.15
(一) 按图规划一个闭合的任务航线不循环执行，①③、②③、 ②④、①④边长为300米，①点相对地面高度为a,②点相对地面高 度为b,③点相对地面高度为c,④点相对地面高度为d,水平速 度为e,垂直速度为f，转弯模式为停止转弯，停留时间4s;
(二) a值为30米，b值为35米，c值为40m,d值为25m, e值为2m/s,f值为2m/s。
一、 起飞点经纬度： N:30°14'54 E:114°3′20
二： 1点经纬度： 任务航线示意图： N:30°14'54 E:114°3′15
三： 2号点位于1点东偏南 45°"
gsec_361d923cf669,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,8,21,106,广东03考场,广东,03考场,2026-05-06,5,经纬度换算;夹角计算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"广东03考场地面站真题 | 日期：2026.05.06
(一) 按图规划一个闭合四边形并循环执行，①②边、②③边边 长为a,①④边边长为b，∠①=∠②=90·航线相对地面高度为c, 水平速度为d,垂直速度为e,转弯模式为停止转弯，停留时间5s;
(二) a值为200米，b值为400米，c值为300m,d值为 3m/s,e值为2m/s。
一： 起飞点经纬度： N:28°39′30"" E:115°56'32""
二： 1点经纬度： N:28°39'25"" E:115°5632""
三： 2号点位于3号点西偏 北25度。"
gsec_bef724d69088,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_8,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,9,21,106,湖北03考场,湖北,03考场,2026-05-10,5,经纬度换算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"湖北03考场地面站真题 | 日期：2026.05.10
(一) 按图规划一个闭合的任务航线不循环执行，①③、②③、 ②④、①④边长为300米，①点相对地面高度为a,②点相对地面高 度为b,③点相对地面高度为c,④点相对地面高度为d,水平速 度为e,垂直速度为f,转弯模式为停止转弯，停留时间4s
(二) a值为30米，b值为35米，c值为40m,d值为25m, e值为2m/s,f值为2m/s。
一、 起飞点经纬度： :28°39'30 E:115°56'30""
二： 1点经纬度： 任务航线示意图： N:28°39'30 E:115°56'25
三： 2号点位于1点东偏南 35度。"
