batch_no,question_code,option_code,option_label,option_content,is_correct,sort_no
20260513-batch-real-001,Q-OVERVIEW-0001,A,A,UVS,0,10
20260513-batch-real-001,Q-OVERVIEW-0001,B,B,UAS,0,20
20260513-batch-real-001,Q-OVERVIEW-0001,C,C,UAV,1,30
20260513-batch-real-001,Q-OVERVIEW-0002,A,A,15km,1,10
20260513-batch-real-001,Q-OVERVIEW-0002,B,B,15~50km C.50~200km,0,20
20260513-batch-real-001,Q-OVERVIEW-0003,A,A,15KM,0,10
20260513-batch-real-001,Q-OVERVIEW-0003,B,B,15~50KM C.50~200KM,1,20
20260513-batch-real-001,Q-OVERVIEW-0005,A,A,超低空无人机,1,10
20260513-batch-real-001,Q-OVERVIEW-0005,B,B,低空无人机,0,20
20260513-batch-real-001,Q-OVERVIEW-0005,C,C,中空无人机,0,30
20260513-batch-real-001,Q-OVERVIEW-0006,A,A,距地面或水面 50 米以下,0,10
20260513-batch-real-001,Q-OVERVIEW-0006,B,B,距地面或水面 100 米以下,1,20
20260513-batch-real-001,Q-OVERVIEW-0006,C,C,距地面或水面 5 米至 100 米,0,30
20260513-batch-real-001,Q-OVERVIEW-0007,A,A,100 米(含)至 4500 米(含),0,10
20260513-batch-real-001,Q-OVERVIEW-0007,B,B,1000 米(含)至 5400 米(含),0,20
20260513-batch-real-001,Q-OVERVIEW-0007,C,C,1000 米(含)至 6000 米(不含),1,30
20260513-batch-real-001,Q-OVERVIEW-0008,A,A,4500 米(含)至 9000 米(含),0,10
20260513-batch-real-001,Q-OVERVIEW-0008,B,B,8000 米(含)至 12000 米(含),0,20
20260513-batch-real-001,Q-OVERVIEW-0008,C,C,6000 米(含)至 12000 米(含),1,30
20260513-batch-real-001,Q-OVERVIEW-0009,A,A,12000 米(不含)以上 B.9000 米(含 )以上,0,10
20260513-batch-real-001,Q-OVERVIEW-0009,C,C,12000 米(含)以上,1,20
20260513-batch-real-001,Q-OVERVIEW-0010,A,A,0~100m,0,10
20260513-batch-real-001,Q-OVERVIEW-0010,B,B,100~1000m C.1000~7000m,1,20
20260513-batch-real-001,Q-OVERVIEW-0011,A,A,赛斯纳,1,10
20260513-batch-real-001,Q-OVERVIEW-0011,B,B,侦察兵,0,20
20260513-batch-real-001,Q-OVERVIEW-0011,C,C,捕食者,0,30
20260513-batch-real-001,Q-OVERVIEW-0013,A,A,飞行器平台,0,10
20260513-batch-real-001,Q-OVERVIEW-0013,B,B,飞行员,1,20
20260513-batch-real-001,Q-OVERVIEW-0013,C,C,导航飞控系统,0,30
20260513-batch-real-001,Q-OVERVIEW-0014,A,A,起飞全重小于 4KG 的无人机,0,10
20260513-batch-real-001,Q-OVERVIEW-0014,B,B,空机重量大于 4KG 的无人机,0,20
20260513-batch-real-001,Q-OVERVIEW-0014,C,C,空机质量大于 0.25KG 小于等于 4KG，起飞全重大于 1.5KG 小于等于 7KG 的无人机,1,30
