batch_no,source_file,source_locator,category_code,question_code,question_type,stem,correct_answer,analysis,score,sort_no,source_ref,parse_status,review_reason,options_payload_json,answer_payload_json,raw_payload_json
20260513-batch-real-001,raw-bank/概述.docx,第1题,overview,Q-OVERVIEW-0001,single_choice,无人机的英文缩写是,C,"UVS: 无人驾驶车辆系统（ Unmanned Vehicle System ）” 首字母缩写。这一术语通常泛指包括无人机（UAV）、无人地面车辆（UGV）、无人水下车辆（UUV）等在内的各类无人载具系统。
UAS:无人机系统（UAS： Unmanned Aircraft System）首字母缩写，是指无人机以及与其相关的遥控站（台）、任务载荷和控制链路等组成的系统
UAV:无人机（UAV： Unmanned Aerial Vehicle），是由控制站管理（包括远程操纵或自主飞行）的航空器。",1,1,raw-bank/概述.docx#第1题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""UVS""}, {""optionCode"": ""B"", ""optionContent"": ""UAS""}, {""optionCode"": ""C"", ""optionContent"": ""UAV""}]","{""correctAnswer"": ""C""}","{""sourceLines"": [""1.无人机的英文缩写是"", ""A.UVS"", ""B.UAS"", ""C.UAV"", ""参考答案：C"", ""解析：UVS: 无人驾驶车辆系统（ Unmanned Vehicle System ）” 首字母缩写。这一术语通常泛指包括无人机（UAV）、无人地面车辆（UGV）、无人水下车辆（UUV）等在内的各类无人载具系统。"", ""UAS:无人机系统（UAS： Unmanned Aircraft System）首字母缩写，是指无人机以及与其相关的遥控站（台）、任务载荷和控制链路等组成的系统"", ""UAV:无人机（UAV： Unmanned Aerial Vehicle），是由控制站管理（包括远程操纵或自主飞行）的航空器。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第2题,overview,Q-OVERVIEW-0002,single_choice,超近程无人机活动半径在______以内,A,"根据无人机分类标准：
超近程无人机：活动半径≤15km
近程无人机：活动半径15~50km
短程无人机：活动半径50~200km
因此，超近程无人机的活动半径应在15km以内。",1,2,raw-bank/概述.docx#第2题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""15km""}, {""optionCode"": ""B"", ""optionContent"": ""15~50km C.50~200km""}]","{""correctAnswer"": ""A""}","{""sourceLines"": [""2.超近程无人机活动半径在______以内"", ""A.15km"", ""B.15~50km C.50~200km"", ""参考答案：A"", ""解析：根据无人机分类标准："", ""超近程无人机：活动半径≤15km"", ""近程无人机：活动半径15~50km"", ""短程无人机：活动半径50~200km"", ""因此，超近程无人机的活动半径应在15km以内。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第3题,overview,Q-OVERVIEW-0003,single_choice,近程无人机的活动半径在___________以内,B,"根据无人机分类标准：
近程无人机的活动半径通常定义为 15~50KM。
选项A（15KM）属于超近程无人机范围，
选项C（200~800KM）属于中程无人机范围。",1,3,raw-bank/概述.docx#第3题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""15KM""}, {""optionCode"": ""B"", ""optionContent"": ""15~50KM C.50~200KM""}]","{""correctAnswer"": ""B""}","{""sourceLines"": [""3.近程无人机的活动半径在___________以内"", ""A.15KM"", ""B.15~50KM C.50~200KM"", ""参考答案：B"", ""解析：根据无人机分类标准："", ""近程无人机的活动半径通常定义为 15~50KM。"", ""选项A（15KM）属于超近程无人机范围，"", ""选项C（200~800KM）属于中程无人机范围。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第4题,overview,Q-OVERVIEW-0004,single_choice,中程无人机活动半径为______,B,"根据无人机分类标准：
近程无人机：活动半径≤50km
中程无人机：活动半径200~800km
远程无人机：活动半径>800km
因此正确答案为B选项。",1,4,raw-bank/概述.docx#第4题,needs_manual_review,answer does not map to parsed options,"[{""optionCode"": ""A"", ""optionContent"": ""50~200KM B.200~800KM C.＞800KM""}]","{""correctAnswer"": ""B""}","{""sourceLines"": [""4.中程无人机活动半径为______"", ""A.50~200KM B.200~800KM C.＞800KM"", ""参考答案：B"", ""解析：根据无人机分类标准："", ""近程无人机：活动半径≤50km"", ""中程无人机：活动半径200~800km"", ""远程无人机：活动半径>800km"", ""因此正确答案为B选项。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第5题,overview,Q-OVERVIEW-0005,single_choice,任务高度一般在 0-100M 之间的无人机为,A,"根据无人机分类标准：
超低空无人机：任务高度一般在0-100米
低空无人机：任务高度一般在100-1000米
中空无人机：任务高度一般在1000-7000米
题目中明确任务高度为0-100米，因此对应的是超低空无人机。",1,5,raw-bank/概述.docx#第5题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""超低空无人机""}, {""optionCode"": ""B"", ""optionContent"": ""低空无人机""}, {""optionCode"": ""C"", ""optionContent"": ""中空无人机""}]","{""correctAnswer"": ""A""}","{""sourceLines"": [""5.任务高度一般在 0-100M 之间的无人机为"", ""A.超低空无人机"", ""B.低空无人机"", ""C.中空无人机"", ""参考答案：A"", ""解析：根据无人机分类标准："", ""超低空无人机：任务高度一般在0-100米"", ""低空无人机：任务高度一般在100-1000米"", ""中空无人机：任务高度一般在1000-7000米"", ""题目中明确任务高度为0-100米，因此对应的是超低空无人机。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第6题,overview,Q-OVERVIEW-0006,single_choice,"超低空飞行,按照飞行高度区分为",B,"超低空：100米以下，适用于农林作业、旅游等。
低空：100米至1000米，适用于训练、侦察等。
中空：1000米至7000米（部分资料标注为6000米，差异源于不同标准或应用场景），适用于训练、巡逻、轰炸等。
高空：7000米至15000米（部分资料标注为6000米，差异源于不同标准或应用场景）。
超高空：15000米以上。
因此，选项B""距地面或水面100米以下""是正确的定义。",1,6,raw-bank/概述.docx#第6题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""距地面或水面 50 米以下""}, {""optionCode"": ""B"", ""optionContent"": ""距地面或水面 100 米以下""}, {""optionCode"": ""C"", ""optionContent"": ""距地面或水面 5 米至 100 米""}]","{""correctAnswer"": ""B""}","{""sourceLines"": [""6.超低空飞行,按照飞行高度区分为"", ""A.距地面或水面 50 米以下"", ""B.距地面或水面 100 米以下"", ""C.距地面或水面 5 米至 100 米"", ""参考答案：B"", ""解析："", ""超低空：100米以下，适用于农林作业、旅游等。"", ""低空：100米至1000米，适用于训练、侦察等。"", ""中空：1000米至7000米（部分资料标注为6000米，差异源于不同标准或应用场景），适用于训练、巡逻、轰炸等。"", ""高空：7000米至15000米（部分资料标注为6000米，差异源于不同标准或应用场景）。"", ""超高空：15000米以上。"", ""因此，选项B\""距地面或水面100米以下\""是正确的定义。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第7题,overview,Q-OVERVIEW-0007,single_choice,"中空飞行,按照飞行高度区分为",C,"根据CCAR-71部第十四条规定：
超低空：100米以下，适用于农林作业、旅游等。
低空：100米至1000米，适用于训练、侦察等。
中空：1000米至7000米（部分资料标注为6000米，差异源于不同标准或应用场景），适用于训练、巡逻、轰炸等。
高空：7000米至15000米。
超高空：15000米以上。
选项A（100-4500米）和B（1000-5400米）均不符合法规标准。",1,7,raw-bank/概述.docx#第7题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""100 米(含)至 4500 米(含)""}, {""optionCode"": ""B"", ""optionContent"": ""1000 米(含)至 5400 米(含)""}, {""optionCode"": ""C"", ""optionContent"": ""1000 米(含)至 6000 米(不含)""}]","{""correctAnswer"": ""C""}","{""sourceLines"": [""7.中空飞行,按照飞行高度区分为"", ""A.100 米(含)至 4500 米(含)"", ""B.1000 米(含)至 5400 米(含)"", ""C.1000 米(含)至 6000 米(不含)"", ""参考答案：C"", ""解析：根据CCAR-71部第十四条规定："", ""超低空：100米以下，适用于农林作业、旅游等。"", ""低空：100米至1000米，适用于训练、侦察等。"", ""中空：1000米至7000米（部分资料标注为6000米，差异源于不同标准或应用场景），适用于训练、巡逻、轰炸等。"", ""高空：7000米至15000米。"", ""超高空：15000米以上。"", ""选项A（100-4500米）和B（1000-5400米）均不符合法规标准。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第8题,overview,Q-OVERVIEW-0008,single_choice,"高空飞行,按照飞行高度区分为",C,"根据CCAR-71部第十四条规定：
超低空：100米以下，适用于农林作业、旅游等。
低空：100米至1000米，适用于训练、侦察等。
中空：1000米至7000米（部分资料标注为6000米，差异源于不同标准或应用场景），适用于训练、巡逻、轰炸等。
高空：7000米至15000米（部分资料标注为6000米，差异源于不同标准或应用场景）。
超高空：15000米以上。
A：4500米至9000米不符合高空飞行的标准定义；
B：8000米至12000米范围过窄，未涵盖6000米起始高度；
C：6000米至12000米完全符合高空飞行的高度划分标准。",1,8,raw-bank/概述.docx#第8题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""4500 米(含)至 9000 米(含)""}, {""optionCode"": ""B"", ""optionContent"": ""8000 米(含)至 12000 米(含)""}, {""optionCode"": ""C"", ""optionContent"": ""6000 米(含)至 12000 米(含)""}]","{""correctAnswer"": ""C""}","{""sourceLines"": [""8.高空飞行,按照飞行高度区分为"", ""A.4500 米(含)至 9000 米(含)"", ""B.8000 米(含)至 12000 米(含)"", ""C.6000 米(含)至 12000 米(含)"", ""参考答案：C"", ""解析：根据CCAR-71部第十四条规定："", ""超低空：100米以下，适用于农林作业、旅游等。"", ""低空：100米至1000米，适用于训练、侦察等。"", ""中空：1000米至7000米（部分资料标注为6000米，差异源于不同标准或应用场景），适用于训练、巡逻、轰炸等。"", ""高空：7000米至15000米（部分资料标注为6000米，差异源于不同标准或应用场景）。"", ""超高空：15000米以上。"", ""A：4500米至9000米不符合高空飞行的标准定义；"", ""B：8000米至12000米范围过窄，未涵盖6000米起始高度；"", ""C：6000米至12000米完全符合高空飞行的高度划分标准。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第9题,overview,Q-OVERVIEW-0009,single_choice,"平流层飞行,按照飞行高度区分为",C,"根据航空领域标准：
平流层飞行高度一般从对流层顶（约12公里即12000米）开始。
选项A“12000米(不含)以上”意味着高于12000米，但平流层从12000米开始。
选项B“9000米(含)以上”范围过大，包含对流层大部分区域。
选项C“12000米(含)以上”准确对应平流层起始高度。
因此正确答案为C",1,9,raw-bank/概述.docx#第9题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""12000 米(不含)以上 B.9000 米(含 )以上""}, {""optionCode"": ""C"", ""optionContent"": ""12000 米(含)以上""}]","{""correctAnswer"": ""C""}","{""sourceLines"": [""9.平流层飞行,按照飞行高度区分为"", ""A.12000 米(不含)以上 B.9000 米(含 )以上"", ""C.12000 米(含)以上"", ""参考答案：C"", ""解析：根据航空领域标准："", ""平流层飞行高度一般从对流层顶（约12公里即12000米）开始。"", ""选项A“12000米(不含)以上”意味着高于12000米，但平流层从12000米开始。"", ""选项B“9000米(含)以上”范围过大，包含对流层大部分区域。"", ""选项C“12000米(含)以上”准确对应平流层起始高度。"", ""因此正确答案为C""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第10题,overview,Q-OVERVIEW-0010,single_choice,低空无人机任务高度一般在______之间[1分],B,"根据无人机分类标准：
超低空无人机：任务高度在0~100米之间
低空无人机：任务高度一般在100~1000米之间
中空无人机：任务高度在1000~7000米之间
因此，低空无人机的标准高度范围是100~1000米。",1,10,raw-bank/概述.docx#第10题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""0~100m""}, {""optionCode"": ""B"", ""optionContent"": ""100~1000m C.1000~7000m""}]","{""correctAnswer"": ""B""}","{""sourceLines"": [""10.低空无人机任务高度一般在______之间[1分]"", ""A.0~100m"", ""B.100~1000m C.1000~7000m"", ""参考答案：B"", ""解析：根据无人机分类标准："", ""超低空无人机：任务高度在0~100米之间"", ""低空无人机：任务高度一般在100~1000米之间"", ""中空无人机：任务高度在1000~7000米之间"", ""因此，低空无人机的标准高度范围是100~1000米。""], ""sourceFile"": ""概述.docx""}"
